Profesor	Id. Asignatura	Horas	Resp	Asignatura
Anonimizado 18				
Anonimizado 18				
Anonimizado 18				
Anonimizado 19	313	5		Trabajo Fin de Grado
Anonimizado 19	101	55	1	Procesos de Software
Anonimizado 19	273	55	1	Ingeniería del Software
Anonimizado 19	94	20		Calidad del Software
Anonimizado 19	199	16		Proceso de Desarrollo de Videojuegos
Anonimizado 19				
Anonimizado 19				
Anonimizado 19				
Anonimizado 19				
Anonimizado 19				
Anonimizado 19				
Anonimizado 19				
Anonimizado 20	20	30		Bases de Datos
Anonimizado 20	120	45	1	Bases de Datos
Anonimizado 20	300	15		Modelos de Datos y de la Información
Anonimizado 20	150	0		Bases de Datos
Anonimizado 20				
Anonimizado 20				
Anonimizado 20				
Anonimizado 20				
Anonimizado 20				
Anonimizado 20				
Anonimizado 20				
Anonimizado 20				
Anonimizado 21	201	10		Algoritmos para Juegos
Anonimizado 21	304	50		Programación I
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 21				
Anonimizado 22	198	60		Informática Gráfica
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 22				
Anonimizado 23	131	16		Inteligencia Artificial
Anonimizado 23	98	16	1	Ingeniería del Conocimiento
Anonimizado 23	63	16		Inteligencia Artificial
Anonimizado 23	37	16		Sistemas Inteligentes
Anonimizado 23	141	30	1	Sistemas Basados en Conocimiento
Anonimizado 23	161	0		Inteligencia Artificial
Anonimizado 23				
Anonimizado 23				
Anonimizado 23				
Anonimizado 23				
Anonimizado 23				
Anonimizado 23				
Anonimizado 24	28	30	1	Ampliación de Redes de Computadores
Anonimizado 24	96	60	1	Diseño y Arquitectura del Software
Anonimizado 24	313	5	1	Trabajo Fin de Grado
Anonimizado 24				
Anonimizado 24				
Anonimizado 24				
Anonimizado 24				
Anonimizado 24				
Anonimizado 24				
Anonimizado 24				
Anonimizado 24				
Anonimizado 24				
Anonimizado 25	313	20		Trabajo Fin de Grado
Anonimizado 25	115	60	1	Fundamentos de Computadores
Anonimizado 25	122	10		Estructura de Computadores
Anonimizado 25	155	0		Organización y Arquitectura de Computadores
Anonimizado 25				
Anonimizado 25				
Anonimizado 25				
Anonimizado 25				
Anonimizado 25				
Anonimizado 25				
Anonimizado 25				
Anonimizado 25				
Anonimizado 26	113	30		Estructuras de Datos (Grupo 1)
Anonimizado 26	304	40		Programación I
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 26				
Anonimizado 27	120	45		Bases de Datos
Anonimizado 27	300	45	1	Modelos de Datos y de la Información
Anonimizado 27	150	0	1	Bases de Datos
Anonimizado 27				
Anonimizado 27				
Anonimizado 27				
Anonimizado 27				
Anonimizado 27				
Anonimizado 27				
Anonimizado 27				
Anonimizado 27				
Anonimizado 27				
Anonimizado 28	23	60	1	Organización de Computadores
Anonimizado 28	309	30		Fundamentos de Arquitectura de Computadores
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 28				
Anonimizado 29	301	15		Antecedentes y Desarrollo de la Inteligencia Artificial (HUM)
Anonimizado 29	5	25		Minería de Datos
Anonimizado 29	80	40	1	Introducción a la Informática (Grupo 1)
Anonimizado 29	313	10		Trabajo Fin de Grado
Anonimizado 29				
Anonimizado 29				
Anonimizado 29				
Anonimizado 29				
Anonimizado 29				
Anonimizado 29				
Anonimizado 29				
Anonimizado 29				
Anonimizado 30	70	30	1	Sistemas Operativos
Anonimizado 30	313	14		Trabajo Fin de Grado
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 30				
Anonimizado 31	65	60	1	Procesadores de Lenguajes
Anonimizado 31	163	0	1	Procesadores de Lenguajes
Anonimizado 31	313	8		Trabajo Fin de Grado
Anonimizado 31				
Anonimizado 31				
Anonimizado 31				
Anonimizado 31				
Anonimizado 31				
Anonimizado 31				
Anonimizado 31				
Anonimizado 31				
Anonimizado 31				
Anonimizado 32	48	80	1	Fundamentos Físicos de la Informática
